text,label,label_id
"Không quá thất vọng, tạm ổn.",NEU,1
Tuy xấu nhưng ok.,NEU,1
"Địa điểm lãng mạn, phục vụ tốt.",POS,2
"wc hôi, bẩn, không recommend!",NEG,0
"không nhiệt tình, thất vọng.",NEG,0
"Giá đắt, tệ, thất vọng!",NEG,0
Giá hơi cao,NEU,1
"View thích, phong cảnh hay, đáng đi lắm!",POS,2
"Tạm ổn, bình thường.",NEU,1
"Địa điểm đỉnh, nhân viên thân thiện, rất recommend!",POS,2
"Địa điểm đẹp, dịch vụ chuyên nghiệp.",POS,2
phòng rộng rãi nhưng chát.,NEU,1
"Tuyệt vời! đỉnh, thơ mộng, 10 điểm!",POS,2
"Hơi chán, không nhiệt tình.",NEG,0
Cảnh thích nhưng dở.,NEU,1
"Địa điểm xuất sắc, phục vụ tốt.",POS,2
"ồn ào, nhân viên cộc lốc, tồi!",NEG,0
"decor đẹp, lãng mạn.",POS,2
"xấu, xếp hàng dài.",NEG,0
"Giá chát, bẩn, thất vọng!",NEG,0
"Hơi chán, phục vụ chậm.",NEG,0
"nhân viên thân thiện, nhưng chán.",NEU,1
"hỗ trợ nhiệt tình, tiện nghi đầy đủ, sẽ quay lại!",POS,2
"Giá hơi chát, còn lại ok.",NEU,1
"Cũng không thất vọng, ok.",NEU,1
Cũng được,NEU,1
"Cũng được, không có gì đặc biệt.",NEU,1
"Giá hơi chát, còn lại ok.",NEU,1
"Tuyệt vời! lãng mạn, ổn, 10 điểm!",POS,2
"đông quá, nhân viên cộc lốc, dở!",NEG,0
"Cũng không dở, ok.",NEU,1
"Quá xấu, nhân viên cộc lốc, phí tiền!",NEG,0
"không nhiệt tình, dở.",NEG,0
"Dịch vụ dở, nhân viên cộc lốc, không bao giờ quay lại!",NEG,0
"tệ, ồn ào.",NEG,0
"dịch vụ tệ, tệ.",NEG,0
"Cũng bẩn, không recommend.",NEG,0
ok nhưng đông quá.,NEU,1
"Tuyệt vời! đẹp, xịn, 10 điểm!",POS,2
Cảnh ok nhưng thất vọng.,NEU,1
"Địa điểm tuyệt vời, hỗ trợ nhiệt tình, rất recommend!",POS,2
"Địa điểm ổn, dịch vụ chuyên nghiệp, rất recommend!",POS,2
"View ổn, đáng để ghé thăm.",POS,2
"Mặc dù mắc, nhưng thơ mộng.",NEU,1
"Cảnh tuyệt vời, chụp hình đỉnh, thích lắm!",POS,2
"Khá chán, không đáng tiền.",NEG,0
"Hơi bẩn, phục vụ chậm.",NEG,0
"Khá chán, không đáng tiền.",NEG,0
"Te qua, ko bao gio quay lai",NEG,0
"nhân viên vui vẻ, phòng rộng rãi, sẽ quay lại!",POS,2
"wc hôi, chán, không recommend!",NEG,0
"Hơi tệ, dịch vụ tệ.",NEG,0
Tương đối tốt,NEU,1
"rác nhiều, dở, không recommend!",NEG,0
"Cũng ổn, recommend.",POS,2
"Tương đối thơ mộng, tạm chấp nhận.",NEU,1
"Khá tốt, dịch vụ chuyên nghiệp.",POS,2
"Dù đông quá, cảnh vẫn lãng mạn.",NEU,1
"Cũng được, không có gì đặc biệt.",NEU,1
"chờ lâu, dịch vụ tệ, xấu!",NEG,0
"Phòng sạch, view đẹp, chỉ hơi xa trung tâm",POS,2
"Quá xấu, không nhiệt tình, phí tiền!",NEG,0
Nhân viên thân thiện nhưng phục vụ chậm,NEU,1
"Địa điểm tốt, dịch vụ chuyên nghiệp.",POS,2
"hỗ trợ nhiệt tình, tiện nghi đầy đủ, sẽ quay lại!",POS,2
"Cảnh thơ mộng, chụp hình xuất sắc, thích lắm!",POS,2
"Cũng đỉnh, recommend.",POS,2
"ồn ào, không nhiệt tình, kém!",NEG,0
phòng rộng rãi nhưng không đáng tiền.,NEU,1
"tiện nghi đầy đủ, đẹp.",POS,2
"rác nhiều, bẩn, không recommend!",NEG,0
"Quá dở, không nhiệt tình, phí tiền!",NEG,0
"mê, chỉ hơi xấu thôi.",NEU,1
"Dịch vụ dở, dịch vụ tệ, không bao giờ quay lại!",NEG,0
"Khá lãng mạn, phục vụ tốt.",POS,2
"Tạm ổn, bình thường.",NEU,1
"View ổn, đáng để ghé thăm.",POS,2
"Địa điểm tốt, hỗ trợ nhiệt tình.",POS,2
"Phòng sạch, view đẹp, chỉ hơi xa trung tâm",POS,2
"Địa điểm tuyệt vời, hỗ trợ nhiệt tình.",POS,2
"Địa điểm xuất sắc, dịch vụ chuyên nghiệp, rất recommend!",POS,2
"Khá bẩn, không đáng tiền.",NEG,0
"wc hôi, dở, không recommend!",NEG,0
"nhân viên cộc lốc, bẩn.",NEG,0
"Khá thất vọng, không đáng tiền.",NEG,0
Ok thôi,NEU,1
"dịch vụ chuyên nghiệp, nhưng kém.",NEU,1
Khá ổn,NEU,1
"Giá cao, thất vọng, thất vọng!",NEG,0
Không hay,NEG,0
"Khá thất vọng, không đáng tiền.",NEG,0
Không hề tệ,POS,2
"Khá xấu, không đáng tiền.",NEG,0
"Tạm ổn, bình thường.",NEU,1
"Không quá tệ, tạm ổn.",NEU,1
"Khá đỉnh, dịch vụ chuyên nghiệp.",POS,2
"wc hôi, tồi, không recommend!",NEG,0
"ồn ào, nhân viên thái độ kém, chán!",NEG,0
"ồn ào, nhân viên cộc lốc, chán!",NEG,0
"Tuyệt vời! hay, xuất sắc, 10 điểm!",POS,2
"Quá thất vọng, nhân viên thái độ kém, phí tiền!",NEG,0
"View xuất sắc, phong cảnh đẹp, đáng đi lắm!",POS,2
tốt nhưng chờ lâu.,NEU,1
"Tuyệt vời! thích, xuất sắc, 10 điểm!",POS,2
"Địa điểm đẹp, dịch vụ chuyên nghiệp.",POS,2
"xấu, xếp hàng dài.",NEG,0
"Tương đối thơ mộng, tạm chấp nhận.",NEU,1
"Mặc dù cao, nhưng tốt.",NEU,1
"Dịch vụ xấu, không nhiệt tình, không bao giờ quay lại!",NEG,0
"Địa điểm thích, nhân viên vui vẻ.",POS,2
"wc hôi, dở, không recommend!",NEG,0
"Hơi dở, nhân viên thái độ kém.",NEG,0
"Giá hơi mắc, còn lại ok.",NEU,1
"mê, chỉ hơi xấu thôi.",NEU,1
Nhân viên thân thiện nhưng phục vụ chậm,NEU,1
"wc hôi, bẩn, không recommend!",NEG,0
"Địa điểm ấn tượng, phục vụ tốt.",POS,2
"Không dở lắm, cũng được.",NEU,1
"Địa điểm tuyệt vời, phục vụ tốt.",POS,2
"nhân viên vui vẻ, tiện nghi đầy đủ, sẽ quay lại!",POS,2
Khá xa,NEU,1
"Cũng tồi, không recommend.",NEG,0
"hỗ trợ nhiệt tình, phòng sạch sẽ, sẽ quay lại!",POS,2
"Hơi thất vọng, nhân viên cộc lốc.",NEG,0
Khá ok,NEU,1
"Cũng được, không có gì đặc biệt.",NEU,1
"Địa điểm hay, phục vụ tốt, rất recommend!",POS,2
"Hơi chán, dịch vụ tệ.",NEG,0
"hỗ trợ nhiệt tình, wifi mạnh, sẽ quay lại!",POS,2
"rác nhiều, thất vọng, không recommend!",NEG,0
"Mặc dù mắc, nhưng ok.",NEU,1
"phòng sạch sẽ, đẹp.",POS,2
Tuy thất vọng nhưng mê.,NEU,1
"Cảnh xuất sắc, chụp hình xịn, thích lắm!",POS,2
"nhân viên thân thiện, wifi mạnh, sẽ quay lại!",POS,2
"View ấn tượng, đáng để ghé thăm.",POS,2
ổn nhưng xếp hàng dài.,NEU,1
"Hơi kém, còn lại ok.",NEU,1
"Quá dở, phục vụ chậm, phí tiền!",NEG,0
xuất sắc nhưng chờ lâu.,NEU,1
đẹp nhưng chờ lâu.,NEU,1
"chán, chen chúc.",NEG,0
"Cảnh thơ mộng, chụp hình đỉnh, thích lắm!",POS,2
"Tương đối hay, tạm chấp nhận.",NEU,1
"Mặc dù mắc, nhưng lãng mạn.",NEU,1
"Địa điểm tốt, dịch vụ chuyên nghiệp.",POS,2
"Khá tồi, không đáng tiền.",NEG,0
"nhân viên vui vẻ, phòng sạch sẽ, sẽ quay lại!",POS,2
"Dịch vụ tồi, không nhiệt tình, không bao giờ quay lại!",NEG,0
"chen chúc, phục vụ chậm, dở!",NEG,0
"hỗ trợ nhiệt tình, nhưng kém.",NEU,1
"Địa điểm ok, hỗ trợ nhiệt tình.",POS,2
"Giá không đáng tiền, tệ, thất vọng!",NEG,0
"decor đẹp, thơ mộng.",POS,2
"Cũng kém, không recommend.",NEG,0
"View ổn, đáng để ghé thăm.",POS,2
Khá xa,NEU,1
"phục vụ chậm, kém.",NEG,0
"Giá không đáng tiền, xấu, thất vọng!",NEG,0
"Không quá tệ, tạm ổn.",NEU,1
"Cảnh tuyệt vời, chụp hình lãng mạn, thích lắm!",POS,2
"View ấn tượng, phong cảnh thơ mộng, đáng đi lắm!",POS,2
"Hơi tệ, còn lại ok.",NEU,1
"Địa điểm lãng mạn, nhân viên thân thiện.",POS,2
"Quá chán, dịch vụ tệ, phí tiền!",NEG,0
Khá ok,NEU,1
"lãng mạn, chỉ hơi dở thôi.",NEU,1
"Địa điểm mê, phục vụ tốt.",POS,2
"Tuyệt vời! đẹp, ấn tượng, 10 điểm!",POS,2
"Phòng sạch, view đẹp, chỉ hơi xa trung tâm",POS,2
"Hơi ồn ào, nhưng chấp nhận được.",NEU,1
"đông quá, nhân viên cộc lốc, dở!",NEG,0
"Dịch vụ bẩn, dịch vụ tệ, không bao giờ quay lại!",NEG,0
"Khá xấu, không đáng tiền.",NEG,0
"Mặc dù không đáng tiền, nhưng đẹp.",NEU,1
"Giá đắt, bẩn, thất vọng!",NEG,0
Không tệ,NEU,1
"hay, chỉ hơi dở thôi.",NEU,1
"Dep lam, rat thich",POS,2
Không quá tệ,NEU,1
"Tuyệt vời! lãng mạn, ổn, 10 điểm!",POS,2
"Khá ok, không quá đẹp.",NEU,1
Bình thường,NEU,1
"Không xấu lắm, cũng được.",NEU,1
"Mặc dù chát, nhưng thích.",NEU,1
"kém, chen chúc.",NEG,0
"Cũng hay, recommend.",POS,2
"bẩn quá, chán, không recommend!",NEG,0
"Quá kém, nhân viên cộc lốc, phí tiền!",NEG,0
"Cũng xấu, không recommend.",NEG,0
"Cũng xuất sắc, recommend.",POS,2
"Quá thất vọng, dịch vụ tệ, phí tiền!",NEG,0
"Phòng sạch, view đẹp, chỉ hơi xa trung tâm",POS,2
tiện nghi đầy đủ nhưng cao.,NEU,1
"View ok, đáng để ghé thăm.",POS,2
"Cũng bẩn, không recommend.",NEG,0
"Tuyệt vời! ổn, tuyệt vời, 10 điểm!",POS,2
"phòng sạch sẽ, xịn.",POS,2
Tuy thất vọng nhưng xịn.,NEU,1
"Hơi xếp hàng dài, nhưng chấp nhận được.",NEU,1
Không quá tệ,NEU,1
"Khá hay, dịch vụ chuyên nghiệp.",POS,2
"Dù ồn ào, cảnh vẫn ấn tượng.",NEU,1
"View xuất sắc, phong cảnh ấn tượng, đáng đi lắm!",POS,2
"Tạm ổn, bình thường.",NEU,1
"Tạm ổn, bình thường.",NEU,1
"Mặc dù mắc, nhưng đỉnh.",NEU,1
"Hơi bẩn, nhân viên cộc lốc.",NEG,0
"dịch vụ chuyên nghiệp, phòng sạch sẽ, sẽ quay lại!",POS,2
"View hay, phong cảnh hay, đáng đi lắm!",POS,2
"Quá tồi, không nhiệt tình, phí tiền!",NEG,0
"Khá tệ, không đáng tiền.",NEG,0
hay nhưng chen chúc.,NEU,1
"Cảnh đẹp, giá hợp lý, nhưng đông quá",NEU,1
"Cũng dở, không recommend.",NEG,0
"Dịch vụ kém, không nhiệt tình, không bao giờ quay lại!",NEG,0
"mùi khó chịu, tồi, không recommend!",NEG,0
"nhân viên cộc lốc, chán.",NEG,0
"wc hôi, thất vọng, không recommend!",NEG,0
"View ổn, phong cảnh tốt, đáng đi lắm!",POS,2
"Giá hơi mắc, còn lại ok.",NEU,1
"Tương đối xịn, tạm chấp nhận.",NEU,1
"Giá cao, bẩn, thất vọng!",NEG,0
"Cũng được, không có gì đặc biệt.",NEU,1
View đẹp nhưng xa,NEU,1
"Tương đối ok, tạm chấp nhận.",NEU,1
"Quá dở, phục vụ chậm, phí tiền!",NEG,0
"Địa điểm đẹp, nhân viên vui vẻ.",POS,2
"wifi mạnh, đỉnh.",POS,2
"Cũng không xấu, ok.",NEU,1
"Cảnh thích, chụp hình ấn tượng, thích lắm!",POS,2
"Khá xấu, không đáng tiền.",NEG,0
"Dịch vụ tệ, nhưng cảnh đẹp bù lại",NEU,1
"Tạm ổn, bình thường.",NEU,1
"Khá ok, không quá đẹp.",NEU,1
"xuất sắc, chỉ hơi thất vọng thôi.",NEU,1
"phục vụ tốt, phòng sạch sẽ, sẽ quay lại!",POS,2
"tốt, chỉ hơi tồi thôi.",NEU,1
Cảnh thích nhưng chán.,NEU,1
"Cảnh xịn, chụp hình mê, thích lắm!",POS,2
Cảnh đỉnh nhưng bẩn.,NEU,1
Tương đối tốt,NEU,1
Cảnh đỉnh nhưng tồi.,NEU,1
"hỗ trợ nhiệt tình, phòng sạch sẽ, sẽ quay lại!",POS,2
xuất sắc nhưng ồn ào.,NEU,1
"Cũng không thất vọng, ok.",NEU,1
"Cũng tuyệt vời, recommend.",POS,2
"Dịch vụ chán, phục vụ chậm, không bao giờ quay lại!",NEG,0
"Hơi xấu, nhân viên thái độ kém.",NEG,0
Ok thôi,NEU,1
"Dịch vụ tồi, phục vụ chậm, không bao giờ quay lại!",NEG,0
"Dịch vụ thất vọng, nhân viên thái độ kém, không bao giờ quay lại!",NEG,0
"Cảnh ok, chụp hình tuyệt vời, thích lắm!",POS,2
"tiện nghi đầy đủ, ổn.",POS,2
"Tuyệt vời! xuất sắc, lãng mạn, 10 điểm!",POS,2
"tệ, đông quá.",NEG,0
Tuy tệ nhưng tốt.,NEU,1
"View ổn, phong cảnh mê, đáng đi lắm!",POS,2
"Hơi tồi, còn lại ok.",NEU,1
"Dịch vụ thất vọng, phục vụ chậm, không bao giờ quay lại!",NEG,0
mê nhưng xếp hàng dài.,NEU,1
"bẩn quá, bẩn, không recommend!",NEG,0
"Địa điểm ổn, nhân viên vui vẻ, rất recommend!",POS,2
"Xin xo, dinh cao",POS,2
"Hơi xếp hàng dài, nhưng chấp nhận được.",NEU,1
"hỗ trợ nhiệt tình, phòng rộng rãi, sẽ quay lại!",POS,2
"View xuất sắc, nhưng nhân viên cộc lốc.",NEU,1
"wifi mạnh, đỉnh.",POS,2
"View xuất sắc, đáng để ghé thăm.",POS,2
"ồn ào, không nhiệt tình, thất vọng!",NEG,0
"Tuyệt vời! thích, ấn tượng, 10 điểm!",POS,2
"wifi mạnh, mê.",POS,2
Tạm ổn,NEU,1
Hơi đắt nhưng đáng tiền,POS,2
"Địa điểm mê, dịch vụ chuyên nghiệp, rất recommend!",POS,2
"Khá ok, không quá ổn.",NEU,1
"nhân viên cộc lốc, chán.",NEG,0
"Mặc dù mắc, nhưng đỉnh.",NEU,1
"Cũng tệ, không recommend.",NEG,0
"Dịch vụ thất vọng, phục vụ chậm, không bao giờ quay lại!",NEG,0
"Tuyệt vời! ổn, xịn, 10 điểm!",POS,2
"View đỉnh, phong cảnh tuyệt vời, đáng đi lắm!",POS,2
Tương đối tốt,NEU,1
"Tương đối lãng mạn, tạm chấp nhận.",NEU,1
"Khá dở, không đáng tiền.",NEG,0
"rác nhiều, xấu, không recommend!",NEG,0
"Hơi tồi, phục vụ chậm.",NEG,0
"bẩn quá, thất vọng, không recommend!",NEG,0
"mùi khó chịu, thất vọng, không recommend!",NEG,0
"Quá thất vọng, nhân viên cộc lốc, phí tiền!",NEG,0
"Dịch vụ thất vọng, phục vụ chậm, không bao giờ quay lại!",NEG,0
"View ổn, đáng để ghé thăm.",POS,2
"Dù đông quá, cảnh vẫn ấn tượng.",NEU,1
"Cũng không tồi, ok.",NEU,1
"Khá ổn, phục vụ tốt.",POS,2
"Giá mắc, tồi, thất vọng!",NEG,0
"Giá đắt, tệ, thất vọng!",NEG,0
"nhân viên cộc lốc, thất vọng.",NEG,0
"Cũng xấu, không recommend.",NEG,0
"hay, chỉ hơi dở thôi.",NEU,1
"Quá xấu, không nhiệt tình, phí tiền!",NEG,0
"Quá bẩn, nhân viên cộc lốc, phí tiền!",NEG,0
"Địa điểm đẹp, nhân viên vui vẻ.",POS,2
"ồn ào, phục vụ chậm, thất vọng!",NEG,0
"ok, chỉ hơi kém thôi.",NEU,1
"Cũng kém, không recommend.",NEG,0
"Tuyệt vời! tuyệt vời, thích, 10 điểm!",POS,2
Phòng sạch nhưng nhỏ,NEU,1
"Tuyệt vời! đỉnh, tuyệt vời, 10 điểm!",POS,2
"Cũng mê, recommend.",POS,2
"Giá không đáng tiền, dở, thất vọng!",NEG,0
"nhân viên cộc lốc, thất vọng.",NEG,0
"nhân viên thân thiện, nhưng kém.",NEU,1
"wc hôi, tồi, không recommend!",NEG,0
"Quá chán, phục vụ chậm, phí tiền!",NEG,0
"View ổn, đáng để ghé thăm.",POS,2
"Tạm ổn, bình thường.",NEU,1
"chờ lâu, không nhiệt tình, chán!",NEG,0
Cũng không tệ,NEU,1
"View ấn tượng, đáng để ghé thăm.",POS,2
"Tương đối đỉnh, tạm chấp nhận.",NEU,1
"Cũng không kém, ok.",NEU,1
"Cũng được, không có gì đặc biệt.",NEU,1
"Khá thất vọng, không đáng tiền.",NEG,0
"Giá không đáng tiền, tệ, thất vọng!",NEG,0
"Hơi tệ, còn lại ok.",NEU,1
"phục vụ chậm, tệ.",NEG,0
"Giá chát, dở, thất vọng!",NEG,0
"Mặc dù đắt, nhưng tuyệt vời.",NEU,1
"dịch vụ tệ, tệ.",NEG,0
"Quá chán, nhân viên cộc lốc, phí tiền!",NEG,0
"decor đẹp, thích.",POS,2
"Không thất vọng lắm, cũng được.",NEU,1
"phục vụ chậm, dở.",NEG,0
"Tuyệt vời! thơ mộng, đẹp, 10 điểm!",POS,2
"Cảnh thích, chụp hình xịn, thích lắm!",POS,2
"Cảnh tốt, chụp hình ấn tượng, thích lắm!",POS,2
"Mặc dù không đáng tiền, nhưng xịn.",NEU,1
"Hơi xấu, không nhiệt tình.",NEG,0
Hơi đắt nhưng đáng tiền,POS,2
Tương đối tốt,NEU,1
Hơi đắt nhưng đáng tiền,POS,2
"Cảnh lãng mạn, chụp hình tuyệt vời, thích lắm!",POS,2
Không quá tệ,NEU,1
"Cảnh đẹp, giá hợp lý, nhưng đông quá",NEU,1
"Cũng được, không có gì đặc biệt.",NEU,1
"View đẹp, đáng để ghé thăm.",POS,2
Không ổn,NEG,0
"Không chán lắm, cũng được.",NEU,1
"View đẹp, phong cảnh xịn, đáng đi lắm!",POS,2
"nhân viên vui vẻ, nhưng tồi.",NEU,1
"Giá đắt, dở, thất vọng!",NEG,0
Cảnh hay nhưng chán.,NEU,1
"View mê, phong cảnh đỉnh, đáng đi lắm!",POS,2
"Cũng xịn, recommend.",POS,2
"dịch vụ chuyên nghiệp, wifi mạnh, sẽ quay lại!",POS,2
"Dịch vụ tệ, dịch vụ tệ, không bao giờ quay lại!",NEG,0
"Cũng được, không có gì đặc biệt.",NEU,1
"decor đẹp, ấn tượng.",POS,2
"View mê, đáng để ghé thăm.",POS,2
Tuy chán nhưng ấn tượng.,NEU,1
"Địa điểm ok, phục vụ tốt.",POS,2
"View mê, nhưng không nhiệt tình.",NEU,1
Rẻ nhưng dở,NEU,1
Không tệ,NEU,1
View đẹp nhưng xa,NEU,1
"Tuyệt vời! lãng mạn, đỉnh, 10 điểm!",POS,2
"Không xấu lắm, cũng được.",NEU,1
"Khá ổn, phục vụ tốt.",POS,2
"Cũng mê, recommend.",POS,2
"Địa điểm tuyệt vời, phục vụ tốt.",POS,2
"Cảnh xuất sắc, chụp hình tuyệt vời, thích lắm!",POS,2
"Khá tốt, phục vụ tốt.",POS,2
"Quá xấu, dịch vụ tệ, phí tiền!",NEG,0
Giá đắt nhưng đáng tiền,POS,2
"Dù chờ lâu, cảnh vẫn tuyệt vời.",NEU,1
"Tương đối đẹp, tạm chấp nhận.",NEU,1
"Khá tệ, không đáng tiền.",NEG,0
Đẹp nhưng đắt,NEU,1
"Giá hơi chát, còn lại ok.",NEU,1
"mùi khó chịu, tồi, không recommend!",NEG,0
"bẩn, đông quá.",NEG,0
"dở, ồn ào.",NEG,0
"bẩn, chen chúc.",NEG,0
"tiện nghi đầy đủ, xuất sắc.",POS,2
"Khá đẹp, phục vụ tốt.",POS,2
"Cũng ok, recommend.",POS,2
"Hơi bẩn, nhân viên thái độ kém.",NEG,0
"Dịch vụ tệ, không nhiệt tình, không bao giờ quay lại!",NEG,0
"Khá bẩn, không đáng tiền.",NEG,0
"Cũng chán, không recommend.",NEG,0
"đông quá, dịch vụ tệ, tồi!",NEG,0
"Cũng được, không có gì đặc biệt.",NEU,1
"Cũng thích, recommend.",POS,2
"Địa điểm hay, dịch vụ chuyên nghiệp.",POS,2
"View hay, đáng để ghé thăm.",POS,2
"hỗ trợ nhiệt tình, decor đẹp, sẽ quay lại!",POS,2
"Mặc dù không đáng tiền, nhưng mê.",NEU,1
Hơi đắt nhưng đáng tiền,POS,2
"Quá thất vọng, không nhiệt tình, phí tiền!",NEG,0
"wifi mạnh, thơ mộng.",POS,2
"View ấn tượng, nhưng không nhiệt tình.",NEU,1
"ồn ào, dịch vụ tệ, xấu!",NEG,0
"Hơi dở, còn lại ok.",NEU,1
"phòng sạch sẽ, đỉnh.",POS,2
"dịch vụ tệ, tệ.",NEG,0
"Dịch vụ chán, dịch vụ tệ, không bao giờ quay lại!",NEG,0
"Cũng xuất sắc, recommend.",POS,2
"Địa điểm tốt, nhân viên thân thiện, rất recommend!",POS,2
"Cũng được, không có gì đặc biệt.",NEU,1
"Dù chờ lâu, cảnh vẫn tuyệt vời.",NEU,1
"Tuyệt vời! hay, đẹp, 10 điểm!",POS,2
"Dù chen chúc, cảnh vẫn hay.",NEU,1
"View mê, phong cảnh xịn, đáng đi lắm!",POS,2
"View hay, đáng để ghé thăm.",POS,2
"View ấn tượng, phong cảnh hay, đáng đi lắm!",POS,2
Tuy dở nhưng tốt.,NEU,1
"Hơi ồn ào, nhưng chấp nhận được.",NEU,1
"Hơi bẩn, nhân viên thái độ kém.",NEG,0
"hỗ trợ nhiệt tình, phòng sạch sẽ, sẽ quay lại!",POS,2
"xuất sắc, chỉ hơi bẩn thôi.",NEU,1
Hơi đông,NEU,1
"View tốt, phong cảnh đẹp, đáng đi lắm!",POS,2
"Địa điểm tuyệt vời, phục vụ tốt, rất recommend!",POS,2
"Khá chán, không đáng tiền.",NEG,0
"Khá tốt, phục vụ tốt.",POS,2
"View đỉnh, phong cảnh tuyệt vời, đáng đi lắm!",POS,2
Tuy tồi nhưng xịn.,NEU,1
"phục vụ chậm, xấu.",NEG,0
"Địa điểm tốt, dịch vụ chuyên nghiệp.",POS,2
"View mê, phong cảnh ổn, đáng đi lắm!",POS,2
"nhân viên vui vẻ, wifi mạnh, sẽ quay lại!",POS,2
"hỗ trợ nhiệt tình, wifi mạnh, sẽ quay lại!",POS,2
"phục vụ tốt, nhưng thất vọng.",NEU,1
Không đẹp,NEG,0
"Giá hơi đắt, còn lại ok.",NEU,1
"Giá không đáng tiền, chán, thất vọng!",NEG,0
"Cảnh ok, chụp hình tốt, thích lắm!",POS,2
"Hơi thất vọng, còn lại ok.",NEU,1
"Hơi ồn ào, nhưng chấp nhận được.",NEU,1
"Cảnh ổn, chụp hình xịn, thích lắm!",POS,2
Không hay,NEG,0
"wifi mạnh, ok.",POS,2
"Địa điểm mê, hỗ trợ nhiệt tình.",POS,2
"Xin xo, dinh cao",POS,2
"Không quá thất vọng, tạm ổn.",NEU,1
"ồn ào, nhân viên cộc lốc, thất vọng!",NEG,0
Khá xa,NEU,1
"rác nhiều, tệ, không recommend!",NEG,0
"Tương đối đỉnh, tạm chấp nhận.",NEU,1
"Xin xo, dinh cao",POS,2
"Hơi xếp hàng dài, nhưng chấp nhận được.",NEU,1
Không quá tệ,NEU,1
"Địa điểm đỉnh, dịch vụ chuyên nghiệp, rất recommend!",POS,2
"chen chúc, phục vụ chậm, chán!",NEG,0
"Khá ok, không quá ổn.",NEU,1
lãng mạn nhưng đông quá.,NEU,1
